rank,method,gaussian_loss,forecast_error,condition_number,folds,score
1,Historical,-34.93458108508526,0.6965475800055932,12.361537951922077,12,0.7875000000000001
2,Ledoit-Wolf,-34.90069383825731,0.6856210009747555,11.000105273986932,12,0.7125
3,DCC-GARCH,-34.86130880347529,0.6310800957333237,13.781857342075757,12,0.625
4,EWMA,-33.90930111718381,0.6600626587516168,22.6084927273654,12,0.375
