rank,return_method,covariance_method,objective,oos_return,oos_volatility,oos_sharpe,oos_sortino,max_drawdown,tail_loss,turnover,effective_holdings,score
1,CAPM,Ledoit-Wolf,Maximum Sharpe,0.016793942046617955,0.15614511669516562,-0.30872600420474466,-0.4772221636564541,-0.2280835430858562,0.021369254349604468,0.684431221778261,2.7777777777777932,0.8170833333333334
2,Historical mean,Historical,Maximum Sharpe,-0.01806605021363684,0.18131424798469553,-0.4581330542795971,-0.6659521295658162,-0.2658719606750197,0.025671687262024973,1.4081116860185345,2.77777777777778,0.7387499999999999
3,CAPM,DCC-GARCH,Maximum Sharpe,-0.03396849315615572,0.16549154111924197,-0.5980275033202195,-0.9358542364004109,-0.23486353108162772,0.02330608698073835,1.2641538058053454,2.777777777777797,0.7168749999999998
4,Historical mean,Ledoit-Wolf,Maximum Sharpe,-0.02677063744744236,0.17722007853923294,-0.517834312025351,-0.7377441718901655,-0.26393382539999133,0.025554537936535907,1.4505642363578752,2.7777777777777795,0.7156250000000001
5,Historical mean,DCC-GARCH,Maximum Sharpe,-0.02418152857839303,0.1811621453726667,-0.49227463273267535,-0.7056264617139614,-0.2699855214061353,0.02599164573330808,1.4219217284434258,2.7777777777777817,0.7091666666666666
6,CAPM,Historical,Target Return,-0.06303659319882207,0.15730615028169334,-0.8139325320055364,-1.2122797602669177,-0.2721890992922955,0.022449519819426018,0.08493006330704382,8.955305901409044,0.6858333333333333
7,CAPM,Historical,Maximum Sharpe,-0.06726994360371112,0.15310494278238732,-0.863916874269111,-1.2840600652623353,-0.26522436059731047,0.02189342291199544,0.0,9.0,0.6816666666666666
8,Shrunk mean,Historical,Maximum Sharpe,-0.03424999851650367,0.18412135813330818,-0.5390466349082889,-0.7996603572413121,-0.26804880558019584,0.026086548408556415,1.3886979557816754,2.777777777777775,0.6754166666666667
9,CAPM,EWMA,Maximum Sharpe,-0.03965788398862154,0.16674442880039206,-0.6276544574326159,-0.96878102582073,-0.2673349123935074,0.02367275850430584,1.2727113573148248,2.7777777777777843,0.6641666666666667
10,CAPM,Ledoit-Wolf,Target Return,-0.06770633011871532,0.15926471921953078,-0.8332437389086322,-1.2462766413328292,-0.2735915943642747,0.02248341134747061,0.12351945717228101,8.560217492048304,0.6618749999999999
11,Historical mean,EWMA,Maximum Sharpe,-0.03974110845415837,0.180302454087561,-0.5809189286092165,-0.8239127139432229,-0.268658040389387,0.02610138859598599,1.497582014706116,2.7777777777777786,0.6483333333333334
12,Historical mean,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740506859138,0.63875
13,EWMA mean,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740506859138,0.63875
14,CAPM,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740412293072,0.6366666666666667
15,Shrunk mean,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740412293072,0.6366666666666667
16,Historical mean,Ledoit-Wolf,Target Return,-0.09257636527970257,0.14466442819134673,-1.0892544024110566,-1.6683746260209147,-0.21946645776919338,0.02015151738639711,0.5126555507798692,9.0,0.6322916666666667
17,Shrunk mean,EWMA,Maximum Sharpe,-0.06093451420068335,0.18570009082356814,-0.6781607571766485,-0.9961891434126741,-0.25972967195799246,0.026712450555376424,1.4679574579570083,2.777777777777788,0.6300000000000001
18,Shrunk mean,DCC-GARCH,Maximum Sharpe,-0.06171413732893552,0.18563692951528094,-0.6825912153352272,-0.9889437524658332,-0.2532285172148667,0.02712012758113386,1.4944245572305528,2.777777777777783,0.6264583333333333
19,Shrunk mean,Ledoit-Wolf,Target Return,-0.0925763658161719,0.14466442779887592,-1.089254409074546,-1.6683746338974232,-0.2194664564003097,0.020151517298899604,0.5126555464488897,9.0,0.6229166666666667
20,CAPM,DCC-GARCH,Target Return,-0.08599974754243654,0.16297017070104186,-0.926548379331551,-1.341272527629499,-0.28415599679530845,0.02354251051508113,0.596495040100012,8.361235633754099,0.608125
21,Shrunk mean,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.496209479815705,0.5248958333333333
22,Historical mean,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.49620946020847,0.5238541666666666
23,CAPM,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.496209450680202,0.5228125
24,EWMA mean,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.4962094265411325,0.5217708333333333
25,EWMA mean,DCC-GARCH,Maximum Sharpe,-0.10968830194808388,0.17056212782836663,-1.0241916196300584,-1.3419757334774778,-0.25297940784365547,0.02581090073956194,1.2475646354189573,2.922990152529993,0.5131249999999999
26,Shrunk mean,Historical,Target Return,-0.10080418901387772,0.14435803677288409,-1.1485622326295175,-1.772626996487092,-0.2141165425359629,0.020227279581324257,0.5208177877933619,9.0,0.5097916666666666
27,EWMA mean,Ledoit-Wolf,Maximum Sharpe,-0.11191874373400937,0.17358446884912773,-1.019208371042571,-1.3525577888316576,-0.2562851107266456,0.02618109672389333,1.2888394725425831,2.8639901495764293,0.49145833333333333
28,Historical mean,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.7523658241823545,0.47239583333333335
29,CAPM,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.752365821315799,0.4708333333333334
30,Shrunk mean,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.752365821315799,0.4708333333333334
31,EWMA mean,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.752365806705535,0.46927083333333336
32,Shrunk mean,Ledoit-Wolf,Maximum Sharpe,-0.11120010941616647,0.17980963066340977,-0.9799258736368797,-1.3982248119145555,-0.2644947006863877,0.02624992969639873,1.4577386196878956,2.7777777777777772,0.46687499999999993
33,Historical mean,Historical,Target Return,-0.10080419242872793,0.1443580369085822,-1.1485622552052779,-1.7726270332348824,-0.21411654314108752,0.020227279589671597,0.5208177838206778,4.893155642263798,0.4660416666666667
34,Shrunk mean,DCC-GARCH,Target Return,-0.10684674421293287,0.14483205177185643,-1.1865242680096169,-1.757950375906587,-0.2160682231952844,0.020381178713741385,0.6847176917552925,9.0,0.44520833333333326
35,Historical mean,DCC-GARCH,Target Return,-0.10684674424873551,0.144832051718507,-1.1865242686938786,-1.7579503776834395,-0.21606822299745498,0.02038117872178636,0.6847176850776163,9.0,0.4325
36,EWMA mean,EWMA,Maximum Sharpe,-0.12583620703563914,0.16901622584535092,-1.1290999197334664,-1.473440653104713,-0.2612459382537191,0.025677133065820947,1.1877300758894707,2.937461862649575,0.4252083333333333
37,CAPM,EWMA,Target Return,-0.13214799778399597,0.17172325085876813,-1.148056519999951,-1.6382844515454957,-0.29209194455102705,0.02462397768042158,0.9482353908398634,6.583211148034347,0.3877083333333333
38,EWMA mean,Ledoit-Wolf,Target Return,-0.11245797021120454,0.13955129819544643,-1.2716325287255195,-1.979644124205359,-0.21238238844675172,0.019247540734504884,0.4776488727325929,5.4407834292587784,0.36
39,EWMA mean,DCC-GARCH,Target Return,-0.11557490315092647,0.14025390177402222,-1.2874857730651206,-1.9780861887614822,-0.21401671147945733,0.019621442141982352,0.5835009066737772,5.554180387757024,0.3495833333333333
40,EWMA mean,Historical,Maximum Sharpe,-0.13578770605343018,0.1713801917624011,-1.1715922592256123,-1.5374422844763487,-0.25715217765219955,0.02608426786595421,1.3005358027251803,2.904572457358855,0.3304166666666667
41,Historical mean,EWMA,Target Return,-0.13079884505235248,0.1512178478899554,-1.2948130646247502,-1.9323850032283094,-0.2276555861435552,0.02114661986648845,0.8977598144420665,6.2356287785146085,0.28583333333333333
42,Shrunk mean,EWMA,Target Return,-0.13079884632059616,0.15121784780422817,-1.2948130737456605,-1.9323850233462239,-0.22765558655712592,0.021146619798237898,0.8977598125302683,9.0,0.28291666666666665
