simulation_rank,rank,return_method,covariance_method,objective,oos_return,oos_volatility,oos_sharpe,oos_sortino,max_drawdown,tail_loss,turnover,effective_holdings,score,simulated_return,probability_of_loss,var_95,cvar_95,combined_score
1,1,CAPM,Ledoit-Wolf,Maximum Sharpe,0.016793942046617955,0.15614511669516562,-0.30872600420474466,-0.4772221636564541,-0.2280835430858562,0.021369254349604468,0.684431221778261,2.7777777777777932,0.8170833333333334,-0.0016175689113638292,0.535,0.09760425857006912,0.1206104159724601,0.8091666666666667
2,14,CAPM,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740412293072,0.6366666666666667,-0.0008522599912212281,0.525,0.08037005186947364,0.09971901448045314,0.7195833333333334
3,7,CAPM,Historical,Maximum Sharpe,-0.06726994360371112,0.15310494278238732,-0.863916874269111,-1.2840600652623353,-0.26522436059731047,0.02189342291199544,0.0,9.0,0.6816666666666666,-0.0023286350487876657,0.545,0.08827995485490364,0.10907008657576397,0.6950000000000001
4,6,CAPM,Historical,Target Return,-0.06303659319882207,0.15730615028169334,-0.8139325320055364,-1.2122797602669177,-0.2721890992922955,0.022449519819426018,0.08493006330704382,8.955305901409044,0.6858333333333333,-0.002466227518619192,0.545,0.08958125720467822,0.110630252481839,0.6941666666666666
5,12,Historical mean,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740506859138,0.63875,-0.002137513711167726,0.535,0.08155301787587263,0.10087709094831956,0.6920833333333334
6,23,CAPM,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.496209450680202,0.5228125,-0.0007000320613922156,0.515,0.07052595166145596,0.08766581678747426,0.6741666666666666
7,3,CAPM,DCC-GARCH,Maximum Sharpe,-0.03396849315615572,0.16549154111924197,-0.5980275033202195,-0.9358542364004109,-0.23486353108162772,0.02330608698073835,1.2641538058053454,2.777777777777797,0.7168749999999998,-0.003396168159114383,0.555,0.10598409169590259,0.13041865656223442,0.6624999999999999
8,15,Shrunk mean,Ledoit-Wolf,Minimum Variance,-0.08948625152146454,0.13822695901535892,-1.1176275063990881,-1.6995443769062581,-0.2105914574359954,0.019036522480611363,0.1487852962877201,5.112740412293072,0.6366666666666667,-0.0021375137111679502,0.535,0.08155301787588108,0.10087709094832982,0.6604166666666667
9,25,EWMA mean,DCC-GARCH,Maximum Sharpe,-0.10968830194808388,0.17056212782836663,-1.0241916196300584,-1.3419757334774778,-0.25297940784365547,0.02581090073956194,1.2475646354189573,2.922990152529993,0.5131249999999999,0.036028866625623934,0.265,0.06717466228748728,0.09183151861183839,0.6591666666666667
10,2,Historical mean,Historical,Maximum Sharpe,-0.01806605021363684,0.18131424798469553,-0.4581330542795971,-0.6659521295658162,-0.2658719606750197,0.025671687262024973,1.4081116860185345,2.77777777777778,0.7387499999999999,-0.003087220110336168,0.555,0.117853807584716,0.14488032314011728,0.6541666666666665
